Title,Artist,Period,Complexity,Relevance
"Still Life with Flowers, Fan, and Pearls",Edouard Manet,Realism,4,1
Strawberries,Edouard Manet,Impressionism,2,10
Young Lady in 1866,Edouard Manet,Realism,10,1
The Monet Family in Their Garden at Argenteuil,Edouard Manet,Impressionism,7,1
The Holy Family with Saint Mary Magdalen,Andrea Mantegna,Renaissance,5,1
Madonna and Child with Seraphim and Cherubim,Andrea Mantegna,Renaissance,3,1
Penelope,Charles-Francois Marchal,Realism,7,9
"Still Life with Poppy, Insects, and Reptiles",Otto Marseus van Schrieck,Baroque,6,1
Napoleon I (1769-1821) on Horseback,Luigi Marta,Romanticism,1,1
Saint Anthony of Padua,Maso di Banco,Gothic,5,3
Ameto's Discovery of the Nymphs,Master of 1416,Renaissance,5,5
A Contest between the Shepherds Alcesto and Acaten,Master of 1416,Renaissance,5,1
Scenes from the Story of the Argonauts,Jacopo di Arcangelo (called Jacopo del Sellaio),Renaissance,8,1
The Conquest of Naples by Charles of Durazzo,Master of Charles of Durazzo,Gothic,7,6
Saint Adalbert and Saint Procopius,Master of Eggenburg,Renaissance,5,1
The Burial of Saint Wenceslas,Master of Eggenburg,Renaissance,5,1
The Arrival in Bethlehem,Master of the Brussels Calling of Saint Matthew,Renaissance,7,1
"Madonna and Child with the Donor, Pietro de' Lardi, Presented by Saint Nicholas","Master G.Z. (possibly Michele dai Carri, Italian, Ferrara, active by 1405-died 1441 Ferrara)",Renaissance,9,1
Saints and Scenes from the Life of the Virgin,Master of Monte Oliveto,Gothic,3,1
Crucifix,Master of the Orcagnesque Misericordia,Gothic,4,8
Abner's Messenger before David; The Queen of Sheba Bringing Gifts to Solomon; The Annunciation,Master of the Saint Barbara Legend,Renaissance,6,4
Young Man Holding a Book,Master of the View of Saint Gudula,Renaissance,1,5
Saint Paul with a Donor; Christ Appearing to His Mother,Master of the Saint Ursula Legend,Renaissance,5,4
Changing Pasture,Anton Mauve,Impressionism,7,8
"Maria Teresa (1638-1683), Infanta of Spain",Juan Bautista Martinez del Mazo,Baroque,9,1
"Portrait of a Woman, Possibly Barbara (1768-1829), Marchioness of Donegall",Anne Foldsone Mee,Neoclassicism,1,5
"Portrait of a Woman, Said to Be Lady Sophia Boyle",Anne Foldsone Mee,Neoclassicism,1,5
Soldier Playing the Theorbo,Ernest Meissonier,Realism,2,1
A General and His Aide-de-camp,Ernest Meissonier,Realism,2,7
"1807, Friedland",Ernest Meissonier,Realism,10,3
The Afternoon Meal (La Merienda),Luis Melendez,Neoclassicism,9,1
Virgin and Child with Saints Catherine of Alexandria and Barbara,Hans Memling,Renaissance,7,1
"Tommaso di Folco Portinari (1428-1501); Maria Portinari (Maria Maddalena Baroncelli, born 1456)",Hans Memling,Renaissance,10,5
Young Woman with a Pink,Hans Memling,Renaissance,2,8
Madonna and Child with Saints and Angels,Lippo Memmi (Filippo di Memmo),Gothic,4,1
Saint Clare,Lippo Memmi (Filippo di Memmo),Gothic,3,7
Saint Paul,Lippo Memmi (Filippo di Memmo),Gothic,6,10
Johann Joachim Winckelmann (1717-1768),Anton Raphael Mengs,Neoclassicism,5,1
"Falling Leaves, Allegory of Autumn",Hugues Merle,Impressionism,10,1
The Visit to the Nursery,Gabriel Metsu,Baroque,7,3
A Woman Seated at a Window,Gabriel Metsu,Baroque,2,6
"Portrait of a Woman, Said to Be Marie de Mautesson",Francois Meuret,Romanticism,1,1
Hannah Mahady,Jeremiah Meyer,Baroque,1,1
Waterfall at Mont-Dore,Achille-Etna Michallon,Romanticism,4,1
Landscape with a Plowed Field and a Village,Georges Michel,Romanticism,6,1
The Mill of Montmartre,Georges Michel,Romanticism,8,1
Madonna and Child with the Infant Saint John the Baptist,Michele da Verona (Michele di Zenone),Renaissance,6,1
The Baker's Cart,Jean Michelin,Baroque,9,8
Landscape with a Battle between Two Rams,Jan Miel,Baroque,10,1
"Margaretha van Clootwijk (born about 1580/81, died 1662)",Michiel Jansz. van Mierevelt,Baroque,6,1
"Jacob van Dalen (1570-1644), Called Vallensis",Michiel Jansz. van Mierevelt,Baroque,6,1
Portrait of a Woman with a Lace Collar,Michiel Jansz. van Mierevelt,Baroque,6,1
The Serenade,Frans van Mieris the Elder,Baroque,1,8
"Charles I (1600-1649), King of England",Daniel Mijtens,Baroque,10,1
Portia,Sir John Everett Millais,Impressionism,9,9
Autumn Landscape with a Flock of Turkeys,Jean-Francois Millet,Impressionism,8,3
Calling the Cows Home,Jean-Francois Millet,Impressionism,7,3
Garden Scene,Jean-Francois Millet,Realism,2,10
Haystacks: Autumn,Jean-Francois Millet,Impressionism,8,3
Shepherdess Seated on a Rock,Jean-Francois Millet,Realism,3,4
Woman with a Rake,Jean-Francois Millet,Realism,3,6
Landscape with a Cottage,Pieter de Molijn,Baroque,4,7
Dr. Leclenche,Claude Monet,Realism,3,2
The Green Wave,Claude Monet,Realism,5,10
Spring (Fruit Trees in Bloom),Claude Monet,Impressionism,7,3
Landscape: The Parc Monceau,Claude Monet,Impressionism,7,1
The Parc Monceau,Claude Monet,Impressionism,6,10
The Seine at Vetheuil,Claude Monet,Impressionism,7,4
View of Vetheuil,Claude Monet,Impressionism,6,1
Vetheuil in Summer,Claude Monet,Impressionism,7,3
Bouquet of Sunflowers,Claude Monet,Impressionism,8,8
Cabin of the Customs Watch,Claude Monet,Impressionism,7,2
Chrysanthemums,Claude Monet,Impressionism,8,10
Palm Trees at Bordighera,Claude Monet,Impressionism,7,1
The Valley of the Nervia,Claude Monet,Impressionism,7,2
The Manneporte near Etretat,Claude Monet,Impressionism,7,1
Rapids on the Petite Creuse at Fresselines,Claude Monet,Impressionism,7,1
The Four Trees,Claude Monet,Impressionism,7,10
Haystacks (Effect of Snow and Sun),Claude Monet,Impressionism,7,1
Ice Floes,Claude Monet,Impressionism,7,1
Rouen Cathedral: The Portal (Sunlight),Claude Monet,Impressionism,7,4
Morning on the Seine near Giverny,Claude Monet,Impressionism,8,2
Ile aux Orties near Vernon,Claude Monet,Impressionism,8,4
Bridge over a Pond of Water Lilies,Claude Monet,Impressionism,8,7
The Houses of Parliament (Effect of Fog),Claude Monet,Expressionism,8,4
The Doge's Palace Seen from San Giorgio Maggiore,Claude Monet,Expressionism,7,3
Apples and Grapes,Claude Monet,Impressionism,7,10
"The Bodmer Oak, Fontainebleau Forest",Claude Monet,Realism,9,2
Garden at Sainte-Adresse,Claude Monet,Realism,9,3
La Grenouillere,Claude Monet,Realism,8,8
Regatta at Sainte-Adresse,Claude Monet,Realism,8,1
Water Lilies,Claude Monet,Expressionism,10,10
Ile aux Fleurs near Vetheuil,Claude Monet,Impressionism,7,1
An Artist Painting a Heraldic Shield in a Cabinet of Curiosities,Monogrammist FA,Baroque,1,2
Traveling Players,Monogrammist JG,Baroque,1,8
Portrait of a Man in White,Monogrammist LAM,Renaissance,3,8
Saint Justina of Padua,Bartolomeo Montagna (Bartolomeo Cincani),Renaissance,4,4
Flowers in a Blue Vase,Adolphe Monticelli,Impressionism,5,10
Portrait of a Woman as Diana,Arnaud Vincent de Montpetit,Baroque,1,1
"Portrait of a Man, Possibly Ottavio Farnese (1524-1586), Duke of Parma and Piacenza",Anthonis Mor van Dashorst,Renaissance,10,5
Oedipus and the Sphinx,Gustave Moreau,Realism,10,8
The Entombment,Moretto da Brescia (Alessandro Bonvicino),Renaissance,10,9
Christ in the Wilderness,Moretto da Brescia (Alessandro Bonvicino),Renaissance,5,8
Young Woman Knitting,Berthe Morisot,Impressionism,5,4
Young Woman Seated on a Sofa,Berthe Morisot,Impressionism,8,1
The Bell Inn,George Morland,Neoclassicism,6,7
Lucrezia Agliardi Vertova (1490?-1558),Giovanni Battista Moroni,Renaissance,7,1
Bartolomeo Bonghi (died 1584),Giovanni Battista Moroni,Renaissance,8,1
A Hunter with a Dog,Mortier,Neoclassicism,1,7
Christ Shown to the People,Jan Mostaert,Renaissance,2,1
Maude Adams (1872-1953) as Joan of Arc,Alphonse Mucha,Expressionism,9,2
The Music Room,Mihaly Munkacsy,Impressionism,9,10
Don Andres de Andrade y la Cal,Bartolome Esteban Murillo,Baroque,10,2
A Knight of Alcantara or Calatrava,Bartolome Esteban Murillo,Baroque,10,2
Count Giacomo Durazzo (1717-1794) and Ernestine Aloisia Ungnad von Weissenwolff (1732-1794),Martin van Meytens the Younger,Baroque,10,2
The Newborn Baby,Matthijs Naiveu,Baroque,7,10
"Near Penshurst, Kent",Patrick Nasmyth,Romanticism,7,1
The Rebuke of Adam and Eve,Charles Joseph Natoire,Baroque,5,1
Madame Marsollier and Her Daughter,Jean Marc Nattier,Baroque,9,1
Madame Bergeret de Frouville as Diana,Jean Marc Nattier,Baroque,9,1
The Spring (La Source),Jean Marc Nattier,Baroque,7,3
"Marie Francoise de La Cropte de St. Abre, Marquise d'Argence (born 1714)",Jean Marc Nattier,Baroque,7,1
Interior of a Gothic Church by Day,Frans Francken III|Pieter Neeffs the Elder,Baroque,1,1
Interior of a Gothic Church at Night,Pieter Neeffs the Elder|Frans Francken III,Baroque,1,1
The Farrier,Aert van der Neer,Baroque,5,9
Landscape at Sunset,Aert van der Neer,Baroque,6,1
Sports on a Frozen River,Aert van der Neer,Baroque,2,1
Madonna and Child with Saints Jerome and Mary Magdalen,Neroccio de' Landi,Renaissance,5,1
The Nightingale Sings,Mikhail Vasilievich Nesterov,Expressionism,7,1
The Last Supper,Netherlandish (Antwerp Mannerist) Painters,Renaissance,9,8
Moses and Aaron before Pharaoh: An Allegory of the Dinteville Family,Master of the Dinteville Allegory,Renaissance,10,2
The Card Party,Caspar Netscher,Baroque,4,10
A Cavalryman,Alphonse-Marie-Adolphe de Neuville,Impressionism,4,7
Saint Ursula and Her Maidens,Niccolo di Pietro,Renaissance,8,1
Virgin and Child with Angels,Bernard van Orley,Renaissance,7,4
Dog Guarding Dead Game,Jean-Baptiste Oudry,Baroque,7,4
Ducks Resting in Sunshine,Jean-Baptiste Oudry,Baroque,7,3
Head of a Donor,Albert van Ouwater,Renaissance,1,8
Still Life of Fruit and Game,Pieter van Overschee,Baroque,8,7
Saint Romuald,Pseudo-Palmeruccio,Gothic,3,8
Ancient Rome,Giovanni Paolo Panini,Baroque,10,7
Modern Rome,Giovanni Paolo Panini,Baroque,10,3
"Interior of Saint Peter's, Rome",Giovanni Paolo Panini,Baroque,8,1
A Mosque,Alberto Pasini,Impressionism,7,9
Abbe Charles Bossut (1730-1814),Pierre Pasquier,Neoclassicism,1,1
Gerard de Vesme,Pierre Pasquier,Neoclassicism,1,5
"Portrait of a Knight of Malta, Probably Fra Jacopo Salviati",Mirabello Cavalori,Renaissance,7,1
Concert Champetre,Jean-Baptiste Joseph Pater,Baroque,6,7
The Fair at Bezons,Jean-Baptiste Joseph Pater,Baroque,9,1
Troops at Rest,Jean-Baptiste Joseph Pater,Baroque,6,6
Troops on the March,Jean-Baptiste Joseph Pater,Baroque,6,8
The Penitence of Saint Jerome,Joachim Patinir,Renaissance,8,6
"Henry Frederick (1594-1612), Prince of Wales, with Sir John Harington (1592-1614), in the Hunting Field",Robert Peake the Elder,Baroque,10,1
"Princess Elizabeth (1596-1662), Later Queen of Bohemia",Robert Peake the Elder,Baroque,9,1
Sir Joshua Reynolds (1723-1792),Thomas Peat,Neoclassicism,1,5
"Maria Luisa of Parma (1751-1819), Later Queen of Spain",Laurent Pecheux,Neoclassicism,10,1
Bacchus and Ariadne,Giovanni Antonio Pellegrini,Baroque,9,3
Head of a Man,Vasilii Grigorievich Perov,Realism,4,9
Madonna and Child with Six Saints,Pesellino (Francesco di Stefano),Renaissance,2,1
The Strong Family,Charles Philips,Baroque,8,8
Saint Christopher Carrying the Infant Christ,Giovanni Battista Piazzetta,Baroque,6,1
Man with a Celestial Globe,Nicolaes Eliasz Pickenoy,Baroque,8,3
A Hunting Scene,Piero di Cosimo (Piero di Lorenzo di Piero d'Antonio),Renaissance,9,10
The Return from the Hunt,Piero di Cosimo (Piero di Lorenzo di Piero d'Antonio),Renaissance,9,9
The Young Saint John the Baptist,Piero di Cosimo (Piero di Lorenzo di Piero d'Antonio),Renaissance,2,4
The Death of Harmonia,Jean-Baptiste Marie Pierre,Baroque,10,3
Processional Crucifix,Pietro di Francesco Orioli,Renaissance,5,3
A Shipwreck in a Storm,Jean Pillement,Neoclassicism,7,6
Thusnelda at the Triumphal Entry of Germanicus into Rome,Karl Theodor von Piloty,Impressionism,10,3
The Presentation in the Temple,Alvaro Pirez,Renaissance,3,8
"Jalais Hill, Pontoise",Camille Pissarro,Realism,8,5
"A Cowherd at Valhermeil, Auvers-sur-Oise",Camille Pissarro,Impressionism,7,1
The Public Garden at Pontoise,Camille Pissarro,Impressionism,6,6
Barges at Pontoise,Camille Pissarro,Impressionism,5,6
"Washerwoman, Study",Camille Pissarro,Impressionism,6,1
Two Young Peasant Women,Camille Pissarro,Impressionism,9,4
A Washerwoman at Eragny,Camille Pissarro,Impressionism,4,1
Bather in the Woods,Camille Pissarro,Impressionism,6,1
"Poplars, Eragny",Camille Pissarro,Impressionism,7,1
"Morning, An Overcast Day, Rouen",Camille Pissarro,Impressionism,6,5
Steamboats in the Port of Rouen,Camille Pissarro,Impressionism,5,1
The Boulevard Montmartre on a Winter Morning,Camille Pissarro,Impressionism,7,6
"Rue de l'Epicerie, Rouen (Effect of Sunlight)",Camille Pissarro,Impressionism,7,1
The Garden of the Tuileries on a Winter Afternoon,Camille Pissarro,Impressionism,8,1
The Garden of the Tuileries on a Spring Morning,Camille Pissarro,Impressionism,8,1
Fan Mount: The Cabbage Gatherers,Camille Pissarro,Impressionism,2,1
"Cote des Grouettes, near Pontoise",Camille Pissarro,Impressionism,6,7
Still Life with Apples and Pitcher,Camille Pissarro,Impressionism,5,1
Elizabeth Bushby,Andrew Plimer,Romanticism,1,5
Christ and the Woman Taken in Adultery,Vasilii Dmitrievich Polenov,Impressionism,3,5
A Brazilian Landscape,Frans Post,Baroque,7,7
Blind Orion Searching for the Rising Sun,Nicolas Poussin,Baroque,10,1
The Companions of Rinaldo,Nicolas Poussin,Baroque,9,1
Midas Washing at the Source of the Pactolus,Nicolas Poussin,Baroque,8,1
The Abduction of the Sabine Women,Nicolas Poussin,Baroque,10,6
Saints Peter and John Healing the Lame Man,Nicolas Poussin,Baroque,10,1
Girl with Cherries,Marco d'Oggiono,Renaissance,4,10
Pilate Washing His Hands,Mattia Preti (Il Cavalier Calabrese),Baroque,10,3
Andromache and Astyanax,Pierre Paul Prud'hon|Charles Pompee Le Boulanger de Boisfremont,Romanticism,10,1
"Charles Maurice de Talleyrand Perigord (1754-1838), Prince de Talleyrand",Pierre Paul Prud'hon,Romanticism,10,1
The Allegory of the Sorbonne,Pierre Puvis de Chavannes,Impressionism,10,1
The Shepherd's Song,Pierre Puvis de Chavannes,Impressionism,9,3
Cider,Pierre Puvis de Chavannes,Realism,10,10
Inter artes et naturam (Between Art and Nature),Pierre Puvis de Chavannes,Impressionism,6,1
Ludus pro patria (Patriotic Games),Pierre Puvis de Chavannes,Impressionism,6,1
The River,Pierre Puvis de Chavannes,Realism,10,10
Sleep,Pierre Puvis de Chavannes,Realism,8,9
Tamaris,Pierre Puvis de Chavannes,Impressionism,3,7
A Party of Merrymakers,Pieter Jansz. Quast,Baroque,4,1
The Drummond Children,Sir Henry Raeburn,Romanticism,10,1
George Harley Drummond (1783-1855),Sir Henry Raeburn,Romanticism,10,1
"Mrs. Richard Alexander Oswald (Louisa Johnston, ?born about 1760, died 1797)",Sir Henry Raeburn,Neoclassicism,9,1
William Forsyth (1749-1814),Sir Henry Raeburn,Neoclassicism,6,1
William Scott-Elliot of Arkleton (1811-1901),Sir Henry Raeburn,Romanticism,9,1
"William Robertson (1753-1835), Lord Robertson",Sir Henry Raeburn,Romanticism,9,5
"The Fletcher Mansion, New York City",Jean-Francois Raffaelli,Impressionism,7,4
Holy Family with an Angel,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),Renaissance,4,6
The Agony in the Garden,Raphael (Raffaello Sanzio or Santi),Renaissance,2,8
A Cat Stealing Fish,Giuseppe Recco,Baroque,9,4
"Madame Arthur Fontaine (Marie Escudier, born 1865)",Odilon Redon,Expressionism,6,1
Bouquet in a Chinese Vase,Odilon Redon,Expressionism,5,1
Bouquet of Flowers,Odilon Redon,Impressionism,7,9
The Chariot of Apollo,Odilon Redon,Expressionism,7,1
Etruscan Vase with Flowers,Odilon Redon,Impressionism,6,1
Vase of Flowers (Pink Background),Odilon Redon,Expressionism,6,1
Pandora,Odilon Redon,Expressionism,8,9
Salome,Henri Regnault,Realism,9,7
Man in a Turban,Rembrandt (Rembrandt van Rijn),Baroque,9,1
"Portrait of a Man, probably a Member of the Van Beresteyn Family",Rembrandt (Rembrandt van Rijn),Baroque,8,1
"Portrait of a Woman, probably a Member of the Van Beresteyn Family",Rembrandt (Rembrandt van Rijn),Baroque,8,1
Bellona,Rembrandt (Rembrandt van Rijn),Baroque,9,10
Portrait of a Young Woman with a Fan,Rembrandt (Rembrandt van Rijn),Baroque,9,1
Herman Doomer (ca. 1595-1650),Rembrandt (Rembrandt van Rijn),Baroque,6,1
The Toilet of Bathsheba,Rembrandt (Rembrandt van Rijn),Baroque,6,1
Aristotle with a Bust of Homer,Rembrandt (Rembrandt van Rijn),Baroque,10,1
"The Standard Bearer (Floris Soop, 1604-1657)",Rembrandt (Rembrandt van Rijn),Baroque,9,1
Hendrickje Stoffels (1626-1663),Rembrandt (Rembrandt van Rijn),Baroque,7,1
Flora,Rembrandt (Rembrandt van Rijn),Baroque,8,10
Man with a Magnifying Glass,Rembrandt (Rembrandt van Rijn),Baroque,8,1
Portrait of a Man Holding Gloves,Rembrandt (Rembrandt van Rijn),Baroque,7,1
Woman with a Pink,Rembrandt (Rembrandt van Rijn),Baroque,8,8
"Portrait of a Man (""The Auctioneer"")",Rembrandt,Baroque,8,1
Old Woman Cutting Her Nails,Rembrandt,Baroque,9,1
The Sibyl,Willem Drost,Baroque,8,7
The Immaculate Conception,Guido Reni,Baroque,10,8
"Madame Edouard Bernier (Marie-Octavie-Stephanie Laurens, 1838-1920)",Auguste Renoir,Impressionism,6,1
Marguerite-Therese (Margot) Berard (1874-1956),Auguste Renoir,Impressionism,3,1
View of the Seacoast near Wargemont in Normandy,Auguste Renoir,Impressionism,5,1
The Bay of Naples,Auguste Renoir,Impressionism,6,9
Still Life with Peaches and Grapes,Auguste Renoir,Impressionism,6,1
Still Life with Peaches,Auguste Renoir,Impressionism,6,7
By the Seashore,Auguste Renoir,Impressionism,7,10
"Hills around the Bay of Moulin Huet, Guernsey",Auguste Renoir,Impressionism,5,1
"Tilla Durieux (Ottilie Godeffroy, 1880-1971)",Auguste Renoir,Expressionism,8,2
"The Farm at Les Collettes, Cagnes",Auguste Renoir,Expressionism,6,2
In the Meadow,Auguste Renoir,Impressionism,7,9
A Road in Louveciennes,Auguste Renoir,Realism,4,1
Young Woman (La Servante),Auguste Renoir,Impressionism,8,1
Young Girl in a Pink-and-Black Hat,Auguste Renoir,Impressionism,3,1
A Young Girl with Daisies,Auguste Renoir,Impressionism,6,1
Shepherd with a Flock of Sheep,Illia Repin (Ilia Efimovich Repin),Realism,1,8
Vsevolod Mikhailovich Garshin (1855-1888),Illia Repin (Ilia Efimovich Repin),Impressionism,7,4
"Thomas (1740-1825) and Martha Neate (1741-after 1795) with His Tutor, Thomas Needham",Sir Joshua Reynolds,Baroque,10,6
"Anne Dashwood (1743-1830), Later Countess of Galloway",Sir Joshua Reynolds,Neoclassicism,9,5
"George Capel, Viscount Malden (1757-1839), and Lady Elizabeth Capel (1755-1834)",Sir Joshua Reynolds,Neoclassicism,10,6
Captain George K. H. Coussmaker (1759-1801),Sir Joshua Reynolds,Neoclassicism,10,5
"Georgiana Augusta Frederica Elliott (1782-1813), Later Lady Charles Bentinck",Sir Joshua Reynolds,Neoclassicism,8,5
The Honorable Henry Fane (1739-1802) with Inigo Jones and Charles Blair,Sir Joshua Reynolds,Neoclassicism,10,1
"Mrs. Lewis Thomas Watson (Mary Elizabeth Milles, 1767-1818)",Sir Joshua Reynolds,Neoclassicism,9,6
John Barker (1707-1787),Sir Joshua Reynolds,Neoclassicism,10,1
"Lady Smith (Charlotte Delaval) and Her Children (George Henry, Louisa, and Charlotte)",Sir Joshua Reynolds,Neoclassicism,9,1
"Mrs. George Baldwin (Jane Maltass, 1763-1839)",Sir Joshua Reynolds,Neoclassicism,8,5
The Holy Family with Saints Anne and Catherine of Alexandria,Jusepe de Ribera (called Lo Spagnoletto),Baroque,10,7
Breton Fishermen and Their Families,Theodule-Augustin Ribot,Impressionism,5,5
The Holy Family with Angels,Sebastiano Ricci,Baroque,9,8
A Canal in Venice,Martin Rico y Ortega,Impressionism,5,6
On the Seine,Martin Rico y Ortega,Realism,5,9
A Spanish Garden,Martin Rico y Ortega,Impressionism,4,6
Portrait of a General Officer,Hyacinthe Rigaud,Baroque,9,1
Louis XV (1710-1774) as a Child,Hyacinthe Rigaud,Baroque,10,1
"Christ Blessing, Surrounded by a Donor Family",German Painter,Renaissance,8,3
Pallas Athena and the Herdsman's Dogs,Briton Riviere,Impressionism,10,1
The Portico of a Country Mansion,Hubert Robert,Neoclassicism,10,3
The Mouth of a Cave,Hubert Robert,Neoclassicism,9,8
The Bathing Pool,Hubert Robert,Neoclassicism,10,9
The Dance,Hubert Robert,Neoclassicism,9,10
The Fountain,Hubert Robert,Neoclassicism,9,8
The Return of the Cattle,Hubert Robert,Neoclassicism,10,1
The Swing,Hubert Robert,Neoclassicism,9,8
Wandering Minstrels,Hubert Robert,Neoclassicism,10,1
Portrait of a Girl,Sampson Towgood Roch,Neoclassicism,1,10
"Francesco d'Este (born about 1429, died after July 20, 1486)",Rogier van der Weyden,Renaissance,2,1
Christ Appearing to His Mother,Juan de Flandes,Renaissance,5,1
The Flagellation; (reverse) The Madonna of Mercy,Girolamo Romanino,Renaissance,10,1
"Portrait of a Woman, Said to Be Emily Bertie Pott (died 1782)",George Romney,Neoclassicism,6,1
"Lady Elizabeth Stanley (1753-1797), Countess of Derby",George Romney,Neoclassicism,9,1
"Mrs. Bryan Cooke (Frances Puleston, 1765-1818)",George Romney,Neoclassicism,9,6
Bandits on a Rocky Coast,Salvator Rosa,Baroque,8,1
The Dream of Aeneas,Salvator Rosa,Baroque,10,7
The Banks of the Bievre near Bicetre,Henri Rousseau (le Douanier),Expressionism,5,5
Still Life with Ham,Philippe Rousseau,Realism,8,9
"The Edge of the Woods at Monts-Girard, Fontainebleau Forest",Theodore Rousseau,Realism,8,3
A Meadow Bordered by Trees,Theodore Rousseau,Realism,5,4
An Old Chapel in a Valley,Theodore Rousseau,Romanticism,3,4
An Early Summer Morning in the Forest of Fontainebleau,Theodore Rousseau,Realism,4,1
A River in a Meadow,Theodore Rousseau,Romanticism,5,7
A River Landscape,Theodore Rousseau,Realism,5,8
Sunset near Arbonne,Theodore Rousseau,Realism,7,2
A Village in a Valley,Theodore Rousseau,Romanticism,3,9
Atalanta and Meleager,Peter Paul Rubens,Baroque,9,2
The Feast of Achelous,Peter Paul Rubens|Jan Brueghel the Elder,Baroque,9,5
A Forest at Dawn with a Deer Hunt,Peter Paul Rubens,Baroque,7,1
The Glorification of the Eucharist,Peter Paul Rubens,Baroque,6,6
The Holy Family with Saints Francis and Anne and the Infant Saint John the Baptist,Peter Paul Rubens,Baroque,10,5
"The Holy Family with Saint Elizabeth, Saint John, and a Dove",Peter Paul Rubens,Baroque,5,5
"Portrait of a Man, Possibly an Architect or Geographer",Peter Paul Rubens,Renaissance,1,1
"Portrait of a Woman, Probably Susanna Lunden (Susanna Fourment, 1599-1628)",Peter Paul Rubens,Baroque,6,3
"Rubens, Helena Fourment (1614-1673), and Their Son Frans (1633-1678)",Peter Paul Rubens,Baroque,10,2
Study of Two Heads,Peter Paul Rubens,Baroque,6,10
The Triumph of Henry IV,Peter Paul Rubens,Baroque,6,1
Venus and Adonis,Peter Paul Rubens,Baroque,10,8
Wolf and Fox Hunt,Peter Paul Rubens,Baroque,10,4
Landscape with a Village in the Distance,Jacob van Ruisdael,Baroque,8,3
The Forest Stream,Jacob van Ruisdael,Baroque,9,9
Grainfields,Jacob van Ruisdael,Baroque,5,7
Mountain Torrent,Jacob van Ruisdael,Baroque,4,9
Wheat Fields,Jacob van Ruisdael,Baroque,9,10
William Man Godschall (1720-1802),John Russell,Neoclassicism,5,4
"Mrs. Robert Shurlock (Henrietta Ann Jane Russell, 1775-1849) and Her Daughter Ann",John Russell,Romanticism,5,1
Mrs. Robert Shurlock Sr. (Ann Manwaring),John Russell,Romanticism,5,1
Robert Shurlock (1772-1847),John Russell,Romanticism,5,1
"Mrs. William Man Godschall (Sarah Godschall, 1730-1795)",John Russell,Neoclassicism,5,1
Market by the Seashore,Salomon van Ruysdael,Baroque,5,1
A Country Road,Salomon van Ruysdael,Baroque,9,7
Marine,Salomon van Ruysdael,Baroque,3,9
Drawing the Eel,Salomon van Ruysdael,Baroque,8,8
Ferry near Gorinchem,Salomon van Ruysdael,Baroque,9,4
Marcantonio Pasqualini (1614-1691) Crowned by Apollo,Andrea Sacchi,Baroque,10,1
Gaspard de Daillon du Lude (ca. 1602-1676),Jacques Saillant,Baroque,1,4
The Burial of Saint Martha,Sano di Pietro (Ansano di Pietro di Mencio),Renaissance,2,4
"Madonna and Child with the Dead Christ, Saints Agnes and Catherine of Alexandria, and Two Angels",Sano di Pietro (Ansano di Pietro di Mencio),Renaissance,3,1
The Massacre of the Innocents,Sano di Pietro (Ansano di Pietro di Mencio),Renaissance,3,7
Head of the Madonna,Franciabigio (Francesco di Cristofano),Renaissance,3,8
The Holy Family with the Young Saint John the Baptist,Andrea del Sarto (Andrea d'Agnolo),Renaissance,9,1
The Journey of the Magi,Sassetta (Stefano di Giovanni),Renaissance,2,9
Infant Bacchanal,Piat Joseph Sauvage,Neoclassicism,4,1
The Triumph of Bacchus,Piat Joseph Sauvage,Neoclassicism,7,1
A Picnic,Edme Charles de Lioux de Savignac,Neoclassicism,1,10
Night Scene on the Volga,Alexei Kondratievich Savrasov,Impressionism,4,1
Joseph and Karl August von Klein,Heinrich Franz Schalck,Romanticism,1,1
Cephalus and Procris,Godfried Schalcken,Baroque,7,5
The Marriage of Cupid and Psyche,Andrea Schiavone (Andrea Meldola),Renaissance,10,4
Baron Alexander von Humboldt (1769-1859),Julius Schrader,Realism,10,1
"Portrait of a Man, Said to be Christopher Columbus (born about 1446, died 1506)",Sebastiano del Piombo (Sebastiano Luciani),Renaissance,8,1
Spring in Brittany,Paul Sebillot,Impressionism,3,8
Sir James Dashwood (1715-1779),Enoch Seeman the Younger,Baroque,10,4
Christ Blessing,Segna di Buonaventura,Gothic,3,10
Saint John the Evangelist,Segna di Buonaventura,Gothic,7,9
The Virgin Adoring the Child with the Infant Saint John the Baptist,Jacopo di Arcangelo (called Jacopo del Sellaio),Renaissance,8,4
Circus Sideshow (Parade de cirque),Georges Seurat,Impressionism,9,1
The Forest at Pontaubert,Georges Seurat,Impressionism,7,1
The Gardener,Georges Seurat,Impressionism,2,10
Landscape at Saint-Ouen,Georges Seurat,Impressionism,2,1
"Study for ""A Sunday on La Grande Jatte""",Georges Seurat,Impressionism,8,1
View of the Seine,Georges Seurat,Impressionism,2,3
"William Archer Shee (1810-1899), the Artist's Son",Sir Martin Archer Shee,Romanticism,6,1
The Hours,Samuel Shelley,Romanticism,1,10
The Cigarette (Jeanne Daurmont),Walter Richard Sickert,Expressionism,4,1
"The Jetty at Cassis, Opus 198",Paul Signac,Impressionism,5,1
"Notre-Dame-de-la-Garde (La Bonne-Mere), Marseilles",Paul Signac,Expressionism,9,1
The Assumption of the Virgin with Saints Michael and Benedict,Luca Signorelli,Renaissance,10,2
Saint Bartholomew,Simone Martini,Gothic,2,7
